96936,"Gabriel MATO",4,26,0
208722,"Sara MATTHIEU",14,152,4
24505,"Emmanuel MAUREL",7,153,6
124691,"Costas MAVRIDES",26,154,2
197522,"Radka MAXOVÁ",23,0,2
98341,"Eva MAYDELL",1,1,0
38511,"Georg MAYER",22,117,1
197538,"Beata MAZUREK",0,72,3
197841,"Liudas MAŽYLIS",18,133,0
204418,"Nora MEBAREK",7,18,2
197662,"Vangelis MEIMARAKIS",12,30,0
130256,"Dace MELBĀRDE",9,136,0
197567,"Karen MELCHIOR",17,0,5
96978,"Nuno MELO",6,155,0
236053,"Marina MESURE",7,31,6
118859,"Roberta METSOLA",3,75,0
193292,"Tilly METZ",13,156,4
190518,"Jörg MEUTHEN",10,157,7
120478,"Martina MICHELS",10,93,6
125128,"Iskra MIHAYLOVA",1,11,5
197497,"Sven MIKSER",15,135,2
197824,"Giuseppe MILAZZO",2,50,3
28400,"Francisco José MILLÁN MON",4,26,0
197540,"Leszek MILLER",0,0,2
236051,"Eric MINARDI",7,19,1
24942,"Ana MIRANDA",4,158,4
212855,"Alin MITUȚA",19,81,5
197805,"Silvia MODIG",5,159,6
124722,"Csaba MOLNÁR",16,24,2
124734,"Cláudia MONTEIRO DE AGUIAR",6,13,0
197711,"Dolors MONTSERRAT",4,26,0
72779,"Nadine MORANO",7,44,0
28347,"Javier MORENO SÁNCHEZ",4,6,2
124799,"Alessandra MORETTI",2,38,2
197427,"Marlene MORTLER",10,94,0
197647,"Dan-Ştefan MOTREANU",19,58,0
197541,"Andżelika Anna MOŻDŻANOWSKA",0,72,3
238674,"Theresa BIELOWSKI",22,122,2
124862,"Ulrike MÜLLER",10,98,5
124802,"Siegfried MUREŞAN",19,58,0
28429,"Alessandra MUSSOLINI",2,2,0
190519,"Caroline NAGTEGAAL",20,35,5
125005,"Javier NART",4,160,5
88882,"Victor NEGRESCU",19,34,2
233862,"Matjaž NEMEC",24,70,2
239260,"Denis NESCI",2,161,3
197464,"Hannah NEUMANN",10,16,4
96653,"Katarína ROTH NEVEĎALOVÁ",21,45,2
124784,"Dan NICA",19,34,2
4289,"Angelika NIEBLER",10,94,0
124701,"Luděk NIEDERMAYER",23,162,0
197465,"Niklas NIENAß",10,16,4
197802,"Ville NIINISTÖ",5,7,4
197734,"Lefteris NIKOLAOU-ALAVANOS",12,163,7
238639,"Johan NISSINEN",8,148,3
202112,"Gheorghe-Vlad NISTOR",19,58,0
124836,"Maria NOICHL",10,37,2
28294,"Ljudmila NOVAK",24,164,0
107212,"Andrey NOVAKOV",1,1,0
197542,"Janina OCHOJSKA",0,0,0
197432,"Jan-Christoph OETJEN",10,42,5
237779,"Carina OHLSSON",8,49,2
28288,"Jan OLBRYCHT",0,28,0
197838,"Juozas OLEKAS",18,60,2
197687,"Philippe OLIVIER",7,19,1
30482,"Younous OMARJEE",7,31,6
234344,"Max ORVILLE",7,73,5
197889,"Grace O'SULLIVAN",11,87,4
129073,"Urmas PAET",15,23,5
125038,"Maite PAGAZAURTUNDÚA",4,165,5
99283,"Alessandro PANZA",2,3,1
124692,"Demetris PAPADAKIS",26,166,2
125093,"Kostas PAPADAKIS",12,163,7
28586,"Dimitrios PAPADIMOULIS",12,29,6
36392,"Aldo PATRICIELLO",2,2,0
197466,"Jutta PAULUS",10,16,4
124844,"Piernicola PEDICINI",2,0,4
197563,"Mauri PEKKARINEN",5,139,5
197539,"Mikuláš PEKSA",23,112,4
197527,"Anne-Sophie PELLETIER",7,31,6
197845,"Tsvetelina PENKOVA",1,128,2
197754,"Sandra PEREIRA",6,167,6
197738,"Lídia PEREIRA",6,13,0
197573,"Kira Marie PETER-HANSEN",17,32,4
124872,"Morten PETERSEN",17,168,5
124846,"Pina PICIERNO",2,38,2
112744,"Tonino PICULA",25,64,2
28224,"Markus PIEPER",10,46,0
40599,"Sirpa PIETIKÄINEN",5,169,0
197619,"Sabrina PIGNEDOLI",2,43,7
136236,"João PIMENTA LOPES",6,167,6
197828,"Manu PINEDA",4,170,6
197629,"Maxette PIRBAKAS",7,171,7
204414,"Margarita DE LA PISA CARRIÓN",4,5,3
197590,"Giuliano PISAPIA",2,0,2
197663,"Dragoş PÎSLARU",19,81,5
38595,"Rovana PLUMB",19,34,2
124704,"Stanislav POLČÁK",23,172,0
197404,"Jessica POLFJÄRD",8,141,0
197765,"Peter POLLÁK",21,173,0
204443,"Clara PONSATÍ OBIOLS",4,84,7
237320,"Eva Maria POPTCHEVA",4,40,5
96801,"Tomasz Piotr PORĘBA",0,72,3
125706,"Jiří POSPÍŠIL",23,162,0
239972,"Erik POULSEN",17,79,5
197820,"Nicola PROCACCINI",2,50,3
202351,"Carles PUIGDEMONT I CASAMAJÓ",4,84,7
197764,"Miroslav RADAČOVSKÝ",21,174,7
124850,"Emil RADEV",1,1,0
188945,"Dennis RADTKE",10,46,0
197868,"Samira RAFAELA",20,131,5
197544,"Elżbieta RAFALSKA",0,72,3
96903,"Paulo RANGEL",6,13,0
197790,"Luisa REGIMENTI",2,2,0
96998,"Evelyn REGNER",22,122,2
197681,"Sira REGO",4,170,6
197488,"Guido REIL",10,15,1
103381,"Terry REINTKE",10,16,4
229839,"René REPASI",10,37,2
197413,"Karlo RESSLER",25,107,0
218347,"Thijs REUTEN",20,76,2
197832,"Diana RIBA I GINER",4,175,4
4253,"Frédérique RIES",14,78,5
197787,"Antonio Maria RINALDI",2,3,1
229519,"Catharina RINZEMA",20,35,5
206158,"Manuela RIPA",10,176,4
96885,"Dominique RIQUET",7,177,5
96743,"Michèle RIVASI",7,56,4
197615,"Jérôme RIVIÈRE",7,171,7
197801,"Franco ROBERTI",2,38,2
125043,"Inma RODRÍGUEZ-PIÑERO",4,6,2
197785,"Eugenia RODRÍGUEZ PALOP",4,178,6
4344,"María Soraya RODRÍGUEZ RAMOS",4,40,5
197584,"Sándor RÓNAI",16,24,2
197792,"Daniela RONDINELLI",2,38,2
197776,"Rob ROOKEN",20,127,3
204733,"Dorien ROOKMAKER",20,179,3
197709,"Robert ROOS",20,127,3
197506,"Caroline ROOSE",7,56,4
125214,"Bronis ROPĖ",18,180,4
204413,"Marcos ROS SEMPERE",4,6,2
197690,"André ROUGÉ",7,19,1
197773,"Bert-Jan RUISSEN",20,181,3
127096,"Domènec RUIZ DEVESA",4,6,2
197545,"Bogdan RZOŃCA",0,72,3
204368,"Christian SAGARTZ",22,51,0
125670,"Massimiliano SALINI",2,2,0
197722,"Nacho SÁNCHEZ AMOR",4,6,2
24594,"Anne SANDER",7,44,0
124781,"Alfred SANT",3,4,2
197650,"Isabel SANTOS",6,8,2
197578,"Silvia SARDONE",2,3,1
112611,"Petri SARVAMAA",5,169,0
28297,"Jacek SARYUSZ-WOLSKI",0,72,3
197500,"Mounir SATOURI",7,56,4
37312,"Christel SCHALDEMOSE",17,103,2
213330,"Ernő SCHALLER-BAROSS",16,61,7
197670,"Andreas SCHIEDER",22,122,2
190517,"Martin SCHIRDEWAN",10,93,6
197656,"Simone SCHMIEDTBAUER",22,51,0
197422,"Christine SCHNEIDER",10,46,0
96646,"Helmut SCHOLZ",10,93,6
125030,"Annie SCHREIJER-PIERIK",20,47,0
124837,"Joachim SCHUSTER",10,37,2
28223,"Andreas SCHWAB",10,46,0
